Datos,,,,,,Obligatoriedad,Tipo de dato,Longitud,Validación,Criterios de aceptación ,Notas
,,,Drupal,,,Opcional,Boolean,-,-,Se debe configurar el instalador web en el sitio creado dependiendo del protocolo y servidor seleccionado,
ManejadorBD,SQLServer,NombreBD,,,,Obligatorio,String,longitud5,alfanum4,Se realiza una conversión a minúsculas,Únicamente instalación de SQL Server para Ubuntu x.04
,MariaDB,,,,,,,,,,
,MySQL,Script,,,,Opcional,String,-,-,,
,PostgreSQL,,,,,,,,,,
ISC-DHCP-Server,Interfaz,,,,,Obligatorio,String,-,-,Se utiliza para obtener la dirección IP asociada al nombre de interfaz ingresada en la sección de datos generales.,
,MascaraRed,,,,,-,-,-,-,El dato se obtiene a partir de la interfaz seleccionada,
,Scopes,Rangos,Inicio,,,Obligatorio,String,-,ip,"La IP Inicio debe ser menor a la IP Fin
El rango del scope debe ser único
El rango del bloque o la IP de debe estar entre el rango establecido en el campo Scope.Rango
Se debe ingresar un rango o una dirección IP",Se permite el ingreso de múltiples bloques Rangos
,,,Fin,,,Obligatorio,,,,,
,,MascaraRed,,,,Obligatorio,String,-,ip,"El campo MascaraRed también acepta los valores 24, 16 y 8",
,,DNS,,,,Opcional,,,,,
,,Gateway,,,,Opcional,,,,,
Bind DNS,Interfaz,,,,,Obligatorio,String,-,-,Se utiliza para obtener la dirección IP asociada al nombre de interfaz ingresada en la sección de datos generales,
,Validaciones especificadas en el servicio DNS / Bind DNS de la sección de Windows Server 2019,,,,,-,-,-,-,,
IPTables,,,,,,Opcional,String,-,-,Ruta válida del archivo que contiene las reglas,
